word,occurence
harry,1451
said,792
ron,427
the,392
hagrid,371
hermione,270
one,257
back,256
potter,228
got,225
could,200
get,193
like,191
know,188
they,186
see,178
professor,176
snape,169
looked,168
you,167
dumbledore,162
dudley,137
going,137
around,136
look,127
never,126
malfoy,126
something,125
think,124
time,123
what,122
right,120
uncle,120
yeh,119
and,117
neville,116
vernon,115
quirrell,113
but,109
would,108
well,108
door,106
two,105
eyes,104
even,103
head,100
mcgonagall,99
way,98
people,98
thought,97
come,97
looking,97
next,96
face,95
first,94
told,93
still,92
boy,88
stone,86
though,86
there,85
gryffindor,84
room,83
left,82
last,81
good,81
behind,79
house,78
ter,78
want,76
came,76
turned,76
hogwarts,75
heard,75
say,73
much,73
tell,72
little,72
seemed,72
let,72
yes,71
towards,71
really,71
went,70
long,70
great,69
found,69
suddenly,69
quidditch,68
anything,68
away,68
bit,67
hand,67
made,66
school,65
aunt,65
tried,64
knew,64
must,64
trying,64
three,64
saw,62
ever,62
she,61
take,61
dark,60
asked,60
took,60
yer,60
wand,60
day,59
voice,59
wood,59
put,58
cloak,58
old,58
nothing,57
petunia,57
inside,57
everyone,57
might,56
dursley,56
thing,56
keep,56
that,56
filch,55
open,55
make,54
things,54
front,54
find,54
seen,53
mirror,53
slytherin,52
large,52
pulled,52
another,51
ing,51
black,51
feet,51
all,50
night,50
dursleys,50
gone,50
floor,49
then,49
lot,49
hall,49
felt,49
this,48
done,48
mind,48
almost,48
started,48
magic,47
every,47
how,47
enough,47
end,47
hat,47
weasley,47
name,46
don,46
mrs,46
wanted,46
fell,46
walked,46
moment,46
saying,45
called,45
man,45
sat,45
air,45
stop,45
forest,44
past,44
second,44
quickly,44
course,44
table,44
wizard,44
letter,43
later,43
books,43
his,42
high,42
owl,42
read,42
sure,42
bed,42
now,42
without,41
always,41
already,41
points,41
when,39
fire,39
better,39
try,39
percy,39
nearly,38
anyone,38
across,38
caught,38
remember,38
life,38
kept,38
gave,37
else,37
new,37
stood,37
reached,37
full,36
quite,36
wall,36
voldemort,36
madam,36
father,36
side,36
stared,35
ground,35
place,35
hair,35
whispered,35
troll,35
whole,34
peeves,34
five,34
hands,34
mother,34
coming,34
train,34
broom,34
fred,34
standing,33
ask,33
top,33
give,33
dragon,33
four,32
small,32
outside,32
window,32
silver,32
mean,32
best,32
